relid,date,title,classification,system_name,deploying_body,vendor,application_domain,technology_type,lifecycle_stage,mention_type,evidence_sentence,notes
216577,2020-11-07,"PM address, IIT Delhi convocation",NOT_DEPLOYMENT,,,,,,,policy,,Speech. Deep Learning/AI listed as emerging fields for youth.
272723,2025-07-10,"VP address, CII-ITC Sustainability Awards",NOT_DEPLOYMENT,,,,,,,policy,,Speech on sustainability; DPI/UPI/Aadhaar named but no AI system deployed.
238765,2022-10-04,Digital India Conference of State IT Ministers,NOT_DEPLOYMENT,,,,,,,policy,,"BORDERLINE. Names real systems (Bhashini, MyScheme) but only as conference session topics and demos. No deployment described in this release."
229226,2021-12-28,"PM address, IIT Kanpur convocation",NOT_DEPLOYMENT,,,,,,,policy,,Speech.
217990,2021-01-02,MeitY Year End Review 2020,DEPLOYMENT,MyGov chatbots - Saathi Chat Bot and WhatsApp Chatbot,MyGov / Ministry of Electronics & IT,,other,chatbot / conversational interface,operational,review,"MyGov platform reached over 1.45 crore registered users... key initiatives include Saathi Chat Bot, Positive Harmonies, MyGov Podcast Fact Checker, Whatsapp Chatbot, Telegram outreach etc.",Scope rule: 'Chatbots deployed by government: in.' Citizen-facing on a platform with 1.45 crore users. RAISE 2020 summit in the same release is NOT a deployment.
281738,2026-01-01,MCA Year-end review 2025,NOT_DEPLOYMENT,,,,,,,review,,"Two near-misses: (a) MCA-21/NSDL/PFMS 'single automated workflow' = automation with no learning component -> out by scope rule; (b) CCI Market Study on AI = a study, not a deployment."
202258,2020-04-14,Smart cities Covid-19 technology,DEPLOYMENT,AI-based video analytics on Agra ICCC (with Agra Lockdown Monitoring App),Agra Smart City Limited / Agra Administration / Agra Police,"existing surveillance vendor (unnamed, CSR)",policing,AI-based video analytics on CCTV feed; automatic alert generation,operational,deployment,"Agra Administration in association with Agra Smart City & Agra Police is making full use of ICCC Control Room established by Agra Smart City Limited... The latest in this effort is the AI based Analytics, the first of its kind combat COVID 19 in Agra... An alert is instantly generated to help the authorities.","Grey-zone rule applied: describable function tied to a specific city. Vadodara helium-balloon surveillance in the same release is EXCLUDED - cameras with human operators, no AI."
240122,2023-03-15,ICCCs in all 100 smart cities [1 of 2],DEPLOYMENT,Automatic Number Plate Recognition (ANPR) + Red Light Violation Detection (RLVD),"Smart Cities Mission, MoHUA + city SPVs (Ahmedabad, Surat, Chandigarh, Kanpur, Ludhiana, Nashik, Saharanpur, Ujjain, Vishakhapatnam)",,transport,"number-plate recognition, violation detection (image/pattern recognition)",operational,deployment,"Out of 100 ICCCs, 30 are working in traffic management and transportation issues such as Adaptive Traffic Control System (ATCS), Integrated Traffic Management System (ITMS), Red Light Violation Detection (RLVD), Automatic Number Plate Recognition System (AnPR), and more.",Enforcement systems that determine penalties -> clears Step 3 decisively.
240122,2023-03-15,ICCCs in all 100 smart cities [2 of 2],DEPLOYMENT,Adaptive Traffic Control System (ATCS) / Integrated Traffic Management System (ITMS),"Smart Cities Mission, MoHUA + city SPVs",,transport,adaptive signal control responding to real-time traffic data,operational,deployment,"Out of 100 ICCCs, 30 are working in traffic management and transportation issues such as Adaptive Traffic Control System (ATCS), Integrated Traffic Management System (ITMS), Red Light Violation Detection (RLVD), Automatic Number Plate Recognition System (AnPR), and more.","Coded separately per codebook (multiple deployments in one release). ATCS adapts to real-time conditions = inference component, but weaker AI evidence than ANPR/RLVD."
289905,2026-06-11,Panchayati Raj e-Governance Awards 2026,DEPLOYMENT,"Eight AI-powered administrative applications, Kadepur Gram Panchayat","Kadepur Gram Panchayat, Kadegaon Taluka, Sangli District, Maharashtra",,other,unspecified 'AI-powered' applications,operational,review,"The Kadepur Gram Panchayat has built an end-to-end digital governance ecosystem, delivering over 1,355 services fully online to more than 4,300 beneficiaries through a completely paperless e-Office, eight AI-powered administrative applications, Blockchain-enabled record management, and GIS-based property geo-tagging.","WEAKEST OF THE SEVEN - most likely to be overruled. Passes Step 1 only on the operational claim (specific body, specific count, 4,300 beneficiaries); FAILS the 'two readers would agree what system' test - no function described. Verify via the release's source link. Panchayat Advancement Index in the same release excluded: an assessment index, not AI."
273633,2025-07-29,Initiatives to curb terrorism,DEPLOYMENT,"AI, Big Data Analytics and Facial Recognition tools for terrorist-network detection (unnamed)",Ministry of Home Affairs / central security agencies,,policing,"artificial intelligence, big data analytics, facial recognition",operational,deployment,"Use of Artificial Intelligence, Big Data Analytics and Facial Recognition Tools to detect terrorist networks and activities.",Grey-zone rule: describable function tied to a specific body. UAVs/drones/satellite surveillance in the same release EXCLUDED - no AI processing described (drone scope rule).
