DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,current
keep,A: kept AI-word (finds nothing new),AI-ACIHR,shaped,11,11,100%,"s to Announce setting up of Ayush - ICMR Advanced Centre for Integrative Health Research (AI-ACIHR) at select AIIMS across the nation Union Minister of AYUSH and Ports, Shipping & Waterways Shri Sarbananda Sonowal and Union Minister of Heal",keep
keep,A: kept AI-word (finds nothing new),AI-focused,shaped,10,10,100%,"Hence the students of the 15 NSTIs across the country, would have access to 1200 hours of AI-focused training, and, in addition to this, about 400 additional hours will be dedicated to Advanced AI skills and a virtual On-the-Job Training (O",keep
keep,A: kept AI-word (finds nothing new),AI-Enhanced,shaped,9,9,100%,"The following focus areas have been identified, along with indicative use cases, for the Innovation Challenge: Healthcare: Enhancing diagnostics and patient care, early disease detection using AI-enhanced X-rays, strengthening ophthalmology",keep
keep,A: kept AI-word (finds nothing new),AI-First,shaped,7,7,100%,""" India’s Journey towards becoming an AI-First nation Puneet Chandok, President, Microsoft India and South Asia highlighted that ""We are proud to come together with India AI to advance AI and emerging technologies in India",keep
keep,A: kept AI-word (finds nothing new),AI-supported,shaped,7,7,100%,"Trust, provenance and cultural authenticity AI-supported documentation and tagging systems help establish authenticity and build trust for heritage and GI-tagged products",keep
keep,A: kept AI-word (finds nothing new),AI-CoEs,shaped,6,6,100%,"While speaking at the event, Shri Dharmendra Pradhan hoped that the three AI-CoEs would emerge as temples of global public good",keep
keep,A: kept AI-word (finds nothing new),AI-for,shaped,6,6,100%,"The foundation’s AI-for-Science initiative is another key highlight, focusing on using AI to model scientific equations in physics, chemistry, and biology — a leap expected to drastically shorten the time from theory to practice in core sci",keep
keep,A: kept AI-word (finds nothing new),AI-literate,shaped,5,5,100%,"By fostering a robust ecosystem of AI-literate students and educators, the initiative aims to create a pipeline of skilled professionals for roles in AI development, data analytics, and tech innovation",keep
keep,A: kept AI-word (finds nothing new),AI-skilled,shaped,5,5,100%,"The AI-skilled workforce has seen a 14-fold increase from 2016 to 2023, making India one of the top five fastest-growing AI talent hubs, alongside Singapore, Finland, Ireland, and Canada",keep
keep,A: kept AI-word (finds nothing new),AI-readiness,shaped,4,4,100%,"Under the SOAR initiative, AI-readiness courses are being delivered in partnership with Microsoft, HCL Technologies and NASSCOM to equip students and educators with foundational and applied AI skills",keep
keep,A: kept AI-word (finds nothing new),Siddhi-AI,shaped,4,4,100%,"Flagship systems such as PARAM Siddhi-AI and AIRAWAT provide AI-optimised supercomputing for applications including natural language processing, weather prediction, and drug discovery",keep
keep,A: kept AI-word (finds nothing new),iGOT-AI,shaped,4,4,100%,"The newly introduced initiatives include AIKosha: IndiaAI Datasets Platform, the AI Compute Portal, the AI Competency Framework for Public Sector Officials, iGOT-AI Mission Karmayogi, the IndiaAI Startups Global Acceleration Program with St",keep
keep,A: kept AI-word (finds nothing new),AI-Data,shaped,3,3,100%,"0, the training is imparted in 17 computer related job roles like Web Developer, Software Programmer, Database Administrator, Ai- Data Scientist, AI-Data Engineer, etc",keep
keep,A: kept AI-word (finds nothing new),AI-ENGAGE,shaped,3,3,100%,"Through the Advancing Innovations for Empowering NextGen Agriculture (AI-ENGAGE) initiative announced at last year’s Summit, our governments are deepening leading-edge collaborative research to harness artiﬁcial intelligence, robotics, and ",keep
keep,A: kept AI-word (finds nothing new),AI-Empowered,shaped,3,3,100%,The programme also included insightful talks on AI-empowered brain-computer interfaces for 21st-century challenges by eminent speaker Dr Tapan Gandhi from IIT Delhi,keep
keep,A: kept AI-word (finds nothing new),AI-augmented,shaped,3,3,100%,Prioritising education and skill development will be crucial to equipping workers with the competencies needed to thrive in an AI-augmented landscape,keep
keep,A: kept AI-word (finds nothing new),AI-centric,shaped,3,3,100%,"Delegates from across sectors explored potential collaborations in talent development, workforce mobility, and AI-centric skilling programmes",keep
keep,A: kept AI-word (finds nothing new),Gen-AI,shaped,3,3,100%,"Under the National Mission on Interdisciplinary Cyber Physical Systems (NM-ICPS), DST has launched BharatGen initiative for IoT& IoE, focusing on Large Language Modelling (LLM)/ Generative AI for developing advanced Gen-AI models tailored t",keep
keep,A: kept AI-word (finds nothing new),edge-AI,shaped,3,3,100%,"InCore Semiconductors is focused on the design and development of indigenous RISC-V microprocessor IPs and SoC design automation tools, with the ultimate goal of building India’s most powerful embedded processor, Dolomite, targeted at entry",keep
keep,A: kept AI-word (finds nothing new),AI-CoE,shaped,2,2,100%,"Respective Apex Committee members of the AI-CoE Healthcare, Agriculture and Sustainable Cities explained the scope and extent of the projects",keep
keep,A: kept AI-word (finds nothing new),AI-Impact,shaped,2,2,100%,"Annexure Hosted by the Ministry of Electronics and Information Technology, the India AI-Impact Summit 2026 will be held on February 19-20 2026 in New Delhi",keep
keep,A: kept AI-word (finds nothing new),AI-aligned,shaped,2,2,100%,"It allocated support for the Indian Institute of Creative Technologies (IICT), Mumbai to establish AI-aligned Content Creator Labs in 15,000 schools and 500 colleges , opening pathways for youth to gain future-ready skills and enter AI-cent",keep
keep,A: kept AI-word (finds nothing new),AI-application,shaped,2,2,100%,"In Phase II, the initiative was expanded significantly with the approval of 50 NSQF-aligned AI and AI-application courses across multiple sectors",keep
keep,A: kept AI-word (finds nothing new),AI-chatbot,shaped,2,2,100%,"Additionally, the Ministry utilised the voice based AI-chatbot “Kisan-eMitra” to assist farmers with queries regarding PM-KISAN, in their own language",keep
keep,A: kept AI-word (finds nothing new),AI-embedded,shaped,2,2,100%,"During his visit to the facility, Shri Vaishnaw noted the growing strength of India’s design ecosystem, pointing out that the location hosts a team of over 5,000 engineers working on complex, AI-embedded systems",keep
keep,A: kept AI-word (finds nothing new),AI-only,shaped,2,2,100%,"However, he cautioned against an over-reliance on AI-only models and proposed a hybrid model that optimally blends Artificial Intelligence with human intelligence to retain empathy and integrity in public service delivery",keep
keep,A: kept AI-word (finds nothing new),AI-optimised,shaped,2,2,100%,"Flagship systems such as PARAM Siddhi-AI and AIRAWAT provide AI-optimised supercomputing for applications including natural language processing, weather prediction, and drug discovery",keep
keep,A: kept AI-word (finds nothing new),AI-recommended,shaped,2,2,100%,"Since CDSS integration, 196 million eSanjeevani consultations benefitted from standardized data capture, ensuring consistency across health and wellness centres and 12 million consultations have been aided by AI-recommended diagnoses, allow",keep
keep,A: kept AI-word (finds nothing new),Hydro-AI,shaped,2,2,100%,"Varaha Climate AG Private Limited Existing Solution Water and Fish Monitoring Kadalcompass - We Amplify the voice of water using Hydro-AI,Underwater com,IoUT with Sensor Network: 5G-enabled device that transforms fishing practices using AI,",keep
keep,A: kept AI-word (finds nothing new),AI-Aware,shaped,1,1,100%,AI-Aware Students and Trained Educators : SOAR aims to produce AI-aware students capable of ethical AI application and train educators across government and private schools in enhancing teaching methodologies and ensuring widespread adoptio,keep
keep,A: kept AI-word (finds nothing new),AI-CBP,shaped,1,1,100%,"Key AI-powered features being demonstrated include: AI-Driven Capacity Building Plans (AI-CBP): A tool that analyses roles and official documents, maps competencies, identifies capability gaps, and generates role-specific learning pathways ",keep
keep,A: kept AI-word (finds nothing new),AI-Courses,shaped,1,1,100%,"AI-Courses for Students and Educators DIKSHA Platform DIKSHA (Digital Infrastructure for Knowledge Sharing), a Ministry of Education initiative, uses AI for inclusivity: AI-based keyword search in videos and read-aloud feature for visually ",keep
keep,A: kept AI-word (finds nothing new),AI-Deep,shaped,1,1,100%,SNRAS PVT LTD Existing Solution Quality of produce AI-Deep tech driven quality assessment of maize: Traceability of the maize quality from farm to processing units provides unique and important value for the entire product chain in the mark,keep
keep,A: kept AI-word (finds nothing new),AI-IoT,shaped,1,1,100%,"Technologies including Hand held device for nutrient and water stress detection in field crops, Localizer, Industrial cut resistance gloves developed using multi-layer weaving technology, AI-IoT enabled jute fibre grading system, Biothermoc",keep
keep,A: kept AI-word (finds nothing new),AI-MET,shaped,1,1,100%,"The event also marked the launch of the White Paper Concept on “AI for Manufacturing, Engineering Technology (AI-MET)”, by the hon’ble Minister Shri Ashwini Vaishnaw",keep
keep,A: kept AI-word (finds nothing new),AI-Machine,shaped,1,1,100%,"Training is being imparted in roles such as AI-Machine Learning Engineer, AI-Data Scientist, AI-Data Architect, AI-Data Engineer, AI Technocrat, Artificial Intelligence Assistant and AI & ML-Junior Telecom Data Analyst, among others",keep
keep,A: kept AI-word (finds nothing new),AI-Preneurs,shaped,1,1,100%,"Atal Innovation Mission launches ‘AI-Preneurs of India’ at India AI Impact Summit 2026, showcasing India’s purpose driven AI Ecosystem Reaffirming India’s emergence as a global leader in responsible and inclusive artificial intelligence, At",keep
keep,A: kept AI-word (finds nothing new),AI-Reinforced,shaped,1,1,100%,Simuliware: A digital twin based low-cost shopfloor simulation solution for MSMEs iGLU : Intelligent Glucose Measurement Device Remote multimodal point-of-care health diagnostic and consultancy system OASIS: Online Aerial image-based Surfac,keep
keep,A: kept AI-word (finds nothing new),AI-Smart,shaped,1,1,100%,1 27 Tourism SSC AI-Smart Waste Controller: Operating Food-Waste AI in Commercial Kitchens 4 6 0,keep
keep,A: kept AI-word (finds nothing new),AI-Thermal,shaped,1,1,100%,[30] Breast Cancer Thermalytix AI-Thermal Imaging: Uses high-resolution thermal sensors and machine learning to detect breast cancer early based on temperature variations,keep
keep,A: kept AI-word (finds nothing new),AI-accelerated,shaped,1,1,100%,"CERT-In has issued guidelines in June 2026 requiring all Original Equipment Manufacturers (OEMs) and technology providers to implement AI-accelerated vulnerability protection, requiring AI-assisted security testing, continuous monitoring, p",keep
keep,A: kept AI-word (finds nothing new),AI-altered,shaped,1,1,100%,"Political parties, candidates and campaign representatives are required to ensure that any synthetically generated or AI-altered content used for campaigning is clearly labelled as “AI-Generated”, “Digitally Enhanced” or “Synthetic Content”",keep
keep,A: kept AI-word (finds nothing new),AI-built,shaped,1,1,100%,"Key Experience Zones AI Gaming Lab Visitors experienced AI-powered game development in real time today, from concept generation to playable prototypes, and engaged with AI-built video games within an interactive gaming lab environment",keep
keep,A: kept AI-word (finds nothing new),AI-camera,shaped,1,1,100%,"Indian Railways has also initiated the pilot project of using automated AI-camera stain detection technology in laundries at Pune Division, Central Railway and Jaipur & Jodhpur division, North Western Railway for ascertaining the quality of",keep
keep,A: kept AI-word (finds nothing new),AI-capable,shaped,1,1,100%,"Netrasemi is focused on designing AI-capable SoCs for CCTV secure surveillance, smart sensors, robotics and drones, and mobility applications",keep
keep,A: kept AI-word (finds nothing new),AI-centred,shaped,1,1,100%,"The summit will cover AI-centred policy, research, industry, and public engagement",keep
keep,A: kept AI-word (finds nothing new),AI-chip,shaped,1,1,100%,"Speakers compared global policy models, urged unified governance and a national research centre, highlighted AI-chip startup opportunities, and emphasized semiconductor diplomacy, rare-earth access, supply-chain resilience and strategic aut",keep
keep,A: kept AI-word (finds nothing new),AI-competitive,shaped,1,1,100%,"India is the world's third most AI-competitive nation India has secured the 3 rd position globally in Artificial Intelligence competitiveness , according to a report by Stanford University’s 2025 Global AI Vibrancy Tool",keep
keep,A: kept AI-word (finds nothing new),AI-created,shaped,1,1,100%,"A few AI-created devotional songs were telecast on the Prasar Bharati network, including the WAVES OTT platform, during Durga Navratri Festival this year",keep
keep,A: kept AI-word (finds nothing new),AI-curated,shaped,1,1,100%,"At the Summit, visitors experience AI-curated archival content, projection-based storytelling, immersive audio-visual modules, and interactive interpretation systems designed for seven Tribal Freedom Fighter Museums across the country",keep
keep,A: kept AI-word (finds nothing new),AI-designed,shaped,1,1,100%,"The long-term goal is to move toward innovation leadership, including AI-designed biologics and advanced therapies and precision medicine to make these more affordable and accessible",keep
keep,A: kept AI-word (finds nothing new),AI-developed,shaped,1,1,100%,"Jitendra Singh today said that AI-developed tools are set to eliminate subjectivity in medical diagnosis, ensuring more precise and specific treatment for patients",keep
keep,A: kept AI-word (finds nothing new),AI-dominated,shaped,1,1,100%,""" This foundational initiative organically integrates ethical AI practices into curricula, enabling young learners to grasp algorithms, problem-solving, and societal applications early, thereby building cognitive resilience for an AI-domina",keep
keep,A: kept AI-word (finds nothing new),AI-edge,shaped,1,1,100%,"Four institutions were specially honoured for exemplary innovation, societal impact and industry collaboration: Punjab Engineering College , for pioneering prototypes in agriculture, healthcare and security and for its strong support to stu",keep
keep,A: kept AI-word (finds nothing new),AI-energy,shaped,1,1,100%,"At the Summit, Prime Minister will exchange views with leaders of G-7 countries, other invited outreach countries and Heads of International Organisations on crucial global issues, including energy security, technology and innovation, parti",keep
keep,A: kept AI-word (finds nothing new),AI-era,shaped,1,1,100%,"Further elaborating upon the Education and training priorities in the AI-era, the survey underscores the need to shift away from narrow technical specialization towards essential foundational capabilities such as reasoning, reading, judgmen",keep
keep,A: kept AI-word (finds nothing new),AI-facilitated,shaped,1,1,100%,"In the backdrop of the ongoing AI Impact Summit, the Minister emphasised that large-scale genome sequencing initiatives supported by DBT are already AI-enabled, and future medical prescriptions will increasingly be based on individual genet",keep
keep,A: kept AI-word (finds nothing new),AI-financial,shaped,1,1,100%,"Numerous initiatives have been taken that represent the core of India’s policy-driven approach to creating a secure and inclusive AI-financial ecosystem: BHASHINI In February 2026, the Digital India BHASHINI Division (DIBD) and the RBI sign",keep
keep,A: kept AI-word (finds nothing new),AI-guided,shaped,1,1,100%,Simuliware: A digital twin based low-cost shopfloor simulation solution for MSMEs iGLU : Intelligent Glucose Measurement Device Remote multimodal point-of-care health diagnostic and consultancy system OASIS: Online Aerial image-based Surfac,keep
keep,A: kept AI-word (finds nothing new),AI-human,shaped,1,1,100%,"Jitendra Singh cited AI-enabled telemedicine vans deployed in rural India, where hybrid AI-human models provided healthcare to villages that had never seen a doctor",keep
keep,A: kept AI-word (finds nothing new),AI-implemented,shaped,1,1,100%,"Pandit, stated that the revised guidelines will serve as a crucial reference for inventors and officials alike, particularly in navigating the patentability of AI-implemented and other disruptive technology-based inventions",keep
keep,A: kept AI-word (finds nothing new),AI-integration,shaped,1,1,100%,"The programme will be further strengthened through AI-integration, multilingual access and upgradation of digital platforms",keep
keep,A: kept AI-word (finds nothing new),AI-learning,shaped,1,1,100%,"The National Education Policy (NEP) 2020 recognises AI's potential for economic growth, solving educational challenges, enhancing teacher capabilities, and personalising learning – and emphasises the importance of AI-learning across all edu",keep
keep,A: kept AI-word (finds nothing new),AI-linked,shaped,1,1,100%,"AI Data Labs Network consists of 570 labs across Tier-2 and Tier-3 cities to build grassroots AI capabilities through training in data annotation, curation, and applied AI skills AI-linked curriculum is integrated under National Education P",keep
keep,A: kept AI-word (finds nothing new),AI-optimized,shaped,1,1,100%,The Government of Odisha in collaboration with Sarvam AI are establishing a 50MW AI-optimized Sovereign AI Capacity Hub to serve as a national compute backbone,keep
keep,A: kept AI-word (finds nothing new),AI-oriented,shaped,1,1,100%,"AI-oriented data centres , in particular, involve significant expenditure on computing hardware, energy systems, cooling infrastructure, and skilled manpower",keep
keep,A: kept AI-word (finds nothing new),AI-photo,shaped,1,1,100%,"It houses 650 sculptures across 16 galleries, along with many digital installations, which include digital screens and displays, topographic projection maps, audio-visual displays, an AI-photo booth a curve screen and an RFID digital screen",keep
keep,A: kept AI-word (finds nothing new),AI-physics,shaped,1,1,100%,"Seasonal changes benefit from hybrid AI-physics ensembles for sub-seasonal to seasonal outlooks, incorporating ENSO-monsoon links and extended Indian Monsoon Data Assimilation and Analysis (IMDAA) reanalysis",keep
keep,A: kept AI-word (finds nothing new),AI-relevant,shaped,1,1,100%,"Further, AICTE has initiated several key reforms to integrate work-based learning, project portfolios and AI-relevant competencies into campus programmes",keep
keep,A: kept AI-word (finds nothing new),AI-research,shaped,1,1,100%,IndiaAI’s initiatives supporting AI-centric education and AI-research are: AI is helping children with learning disabilities bridge their learning gaps through various applications: Existing Solutions: Readabled (Online Dyslexia Training): ,keep
keep,A: kept AI-word (finds nothing new),AI-safety,shaped,1,1,100%,"The survey in this chapter further elaborates upon Artificial Intelligence in India’s economic context, a development-oriented approach to AI, role of human capital for AI, AI-safety and risks along with the governance, institutional archit",keep
keep,A: kept AI-word (finds nothing new),AI-solutions,shaped,1,1,100%,"The National AI Mission can help scale diverse AI-solutions by providing shared infrastructure, standards, governance frameworks and funding without diluting local creativity",keep
keep,A: kept AI-word (finds nothing new),AI-specific,shaped,1,1,100%,"India’s growing AI talent base AI-specific jobs span multiple sectors such as IT, manufacturing, agriculture, healthcare, governance, etc",keep
keep,A: kept AI-word (finds nothing new),AI-themed,shaped,1,1,100%,"An AI-themed video showcasing India’s and Rajasthan’s AI vision was also unveiled Strengthening institutional collaboration, the event saw the signing of a Memorandum of Understanding (MoU) with Google, IIT Delhi, National Law University, J",keep
keep,A: kept AI-word (finds nothing new),AI-tool,shaped,1,1,100%,"During the year 2025, the Commission focused on reaching out to the states with a more structured approach, aiming at creating capacities through Capacity Building Plans (CBPs) for State Departments by using AI-tool",keep
keep,A: kept AI-word (finds nothing new),AI-tools,shaped,1,1,100%,"ICMR supports several extramural research projects for frontier technologies including development of recombinant vaccines, biologics, cell and gene therapies, Robotics and AI-tools",keep
keep,A: kept AI-word (finds nothing new),AI-twisted,shaped,1,1,100%,The guests engaged in an AI-twisted Dumb Charades game to teach students the tricks of Prompt Engineering,keep
keep,A: kept AI-word (finds nothing new),AI-validated,shaped,1,1,100%,Spotlight 2 – Cellverse Pvt Ltd: AI-validated 3D bioprinted disease models enabling animal-free testing for pharmaceutical and cosmetic research,keep
keep,A: kept AI-word (finds nothing new),AI-voice,shaped,1,1,100%,"0 rechristened as EASE₹ise, ‘Credit Line on UPI’, ‘Hello! UPI’- an AI-voice-enabled payment feature, NPA management, financial inclusion, customer service enhancement, digital transformation among others",keep
keep,A: kept AI-word (finds nothing new),AI–Copyright,shaped,1,1,100%,DPIIT Publishes First Part of Working Paper on AI–Copyright Interface Department of Promotion of Industry and Internal Trade published Part 1 of its working paper examining the intersection of generative artificial intelligence (AI) and cop,keep
keep,A: kept AI-word (finds nothing new),AI–Data,shaped,1,1,100%,"The training will span sectors like Automotive, Electronics, Handicrafts, and IT-ITeS, with roles including Automotive IoT Technician, CNC Programmer, Bamboo Work Artisan, and AI–Data Scientist—supporting inclusive and future-ready workforc",keep
keep,A: kept AI-word (finds nothing new),AI–Quantum,shaped,1,1,100%,The proposed campus will focus on cutting-edge domains including: Quantum Computing and Quantum Algorithms Artificial Intelligence and Machine Learning Quantum Communication and Cybersecurity Quantum Hardware and Systems Engineering High-Pe,keep
keep,A: kept AI-word (finds nothing new),AI–driven,shaped,1,1,100%,"Farid Ahsan, Co-founder, General Autonomy, discussed embodied AI–driven automation using indigenous humanoid and quadruped robots, stressing the need for national enablers such as Product Linked Incentive (PLI) support, data platforms, and ",keep
keep,A: kept AI-word (finds nothing new),Acousto-AI,shaped,1,1,100%,National Institute of Technology 2023- 24 660000 85 Predictors and Outcomes of Loneliness in the Workplace: A Time lagged Multi- Study Investigation Indian Institute of Technology 2023- 24 660000 86 Modelling Maternal Healthcare Seeking Beh,keep
keep,A: kept AI-word (finds nothing new),CoE-AI,shaped,1,1,100%,"He also remotely inaugurated the Centre of Excellence for Artificial Intelligence (CoE-AI) located in Pune, and formally launched the company’s AI Policy",keep
keep,A: kept AI-word (finds nothing new),DPI-AI,shaped,1,1,100%,"athmandu University's Centre for Digital Public Infrastructure & Artificial Intelligence (DPI-AI), Nepal, to establish a collaborative framework for advancing Language AI, multilingual digital public infrastructure, and inclusive digital ec",keep
keep,A: kept AI-word (finds nothing new),GIS-AI,shaped,1,1,100%,"Speakers demonstrated advanced geospatial tools integrated with AI techniques for feature extraction, change detection, and spatial stratification, showcasing use cases that illustrated the value of GIS-AI convergence for dynamic visualizat",keep
keep,A: kept AI-word (finds nothing new),Group-AI,shaped,1,1,100%,"Build-a-thon 2025 Concludes with Global Show of AI-Native Network Innovation The Focus Group-AI Native Networking (AINN) Build-a-thon 2025 concluded today with the successful presentation of innovative, AI-native telecom solutions by 10 fin",keep
keep,A: kept AI-word (finds nothing new),Human–AI,shaped,1,1,100%,"The concluding discussion on Human–AI Synergy, moderated by Dr Manish Tiwari, Director, IGPP, featured Dr Nandakrishnan S L, Assistant Professor, Indian Maritime University; Dr Kumaran Raju, Principal Scientist, IIT Madras; Mr Prajith Nair,",keep
keep,A: kept AI-word (finds nothing new),MahaAgri-AI,shaped,1,1,100%,"He cited Maharashtra’s ₹500-crore MahaAgri-AI Policy 2025–29 as a model, adding that the Centre would align and amplify such state-level initiatives",keep
keep,A: kept AI-word (finds nothing new),MahaVISTAAR-AI,shaped,1,1,100%,"MahaVISTAAR-AI, an AI-powered mobile application developed by the Department of Agriculture, Government of Maharashtra, leverages BHASHINI-enabled multilingual capabilities to provide real-time advisory services to farmers",keep
keep,A: kept AI-word (finds nothing new),Quantum-AI,shaped,1,1,100%,"Sridhar, Mission Director, APSQM, Amaravati Quantum Valley, remarked: “The NIELIT Quantum-AI University at Amaravati Quantum Valley will anchor India’s next wave of deep-tech talent by converging quantum science, artificial intelligence, an",keep
keep,A: kept AI-word (finds nothing new),Structure-AI,shaped,1,1,100%,Scientists at the iBRIC-THSTI are working on promising vaccine platforms such as the Multivalent Self-Assembled Nanocage Platform (MSN platform) and the Structure-AI-Driven Native Antigen Platform,keep
keep,A: kept AI-word (finds nothing new),Voice-AI,shaped,1,1,100%,0 – AI-enabled multilingual clinical decision support system ● Neura AI – Markerless AI-powered motion analysis platform for rehabilitation ● Remidio MediosHI – Smartphone-based AI retinal screening platform ● Lightbees – AbleCredit – AI-po,keep
keep,A: kept AI-word (finds nothing new),agri-AI,shaped,1,1,100%,"The Minister said the Department of Science and Technology (DST) is supporting an open, interoperable India AI Open Stack to ensure that agri-AI solutions developed anywhere in the country can plug into a national framework",keep
keep,A: kept AI-word (finds nothing new),device-AI,shaped,1,1,100%,"With the government’s push for Design in India coupled with growing adoption of 5G and on device-AI, we see greater scope for innovations",keep
keep,A: kept AI-word (finds nothing new),frontier-AI,shaped,1,1,100%,"Jann Tallinn, AI investor and Founding Engineer of Skype and Co-Founder of the Future of Life Institute, situated the discussion in the context of frontier-AI development, warning that competitive pressures on leading laboratories make unil",keep
keep,A: kept AI-word (finds nothing new),global-AI,shaped,1,1,100%,"As we aspire to become a global-AI-hub by 2047, our focus will remain on making the best use of the advances in technology for the common people, to improve their lives by improving governance",keep
keep,A: kept AI-word (finds nothing new),human-AI,shaped,1,1,100%,"Research scholars presented 25 papers focused mainly on biodiversity values of medicinal plants, biological waste disposal, human-AI collaboration, technology and social innovations, confluence of Rajbhasha and technology",keep
keep,A: kept AI-word (finds nothing new),language-AI,shaped,1,1,100%,"Together with language-AI platforms such as Bhashini , these initiatives enable schools, ed-tech firms, and higher-education institutions to deliver localized learning materials, interactive tools, and teacher-aids in native languages—bridg",keep
keep,A: kept AI-word (finds nothing new),iMPEL-AI,shaped,1,1,100%,"” Microsoft and iCreate, in the presence of Minister Chandrasekhar launched iMPEL-AI (iCreate-Microsoft programme for Emerging Leaders in Artificial Intelligence) programme",keep
drop,"B: dropped, looks like real AI",robotics,phrase,325,374,87%,"The exciting areas, such as space exploration, green energy, artificial intelligence (AI), and robotics spark interest among the youths",drop
drop,"B: dropped, looks like real AI",digital twin,phrase,51,58,88%,"Useful insights on port-led development model, convergence approach for good governance , infrastructure as a facilitator of trade , positive impact of Atal Setu – Mumbai trans-harbor link on logistics movement in the surrounding area, dome",drop
drop,"B: dropped, looks like real AI",digital twins,phrase,40,42,95%,"Additionally, port planning initiatives include the implementation of digital twins, advanced analytics-driven yard management, AI/ML-based berth allotment, and the establishment of a Sagarmala digital center of excellence for research on u",drop
drop,"B: dropped, looks like real AI",SabhaSaar,named,27,31,87%,The felicitation ceremony will include the launch of the AI powered SabhaSaar Application and the release of the 16th issue of the Gramoday Sankalp Magazine,drop
keep,"C: kept, adjacent tech not AI",computing,phrase,488,633,77%,"You have to address artificial intelligence, internet of things, machine learning and that is why you have to keep in mind that India is one of the few countries in single digit who have taken initiative with respect to Quantum computing",keep
keep,"C: kept, adjacent tech not AI",digital public,phrase,433,673,64%,"India's commanding presence is marked by securing four distinct spaces at WEF, each dedicated to illuminating the India Opportunity and unfolding its Growth Story to the global investors: • India Engagement Centre : This lounge will unfold ",keep
keep,"C: kept, adjacent tech not AI",public infrastructure,phrase,422,691,61%,"India's commanding presence is marked by securing four distinct spaces at WEF, each dedicated to illuminating the India Opportunity and unfolding its Growth Story to the global investors: • India Engagement Centre : This lounge will unfold ",keep
keep,"C: kept, adjacent tech not AI",Blockchain,named,193,215,90%,"Indeed, from AI-powered map creation to targeted weather alerts, and from blockchain-secured data sharing to Twitter's rapid information flow, a potent mix of advanced and established technologies is reshaping disaster response",keep
keep,"C: kept, adjacent tech not AI",data centres,phrase,93,126,74%,"Also, PES University discussed innovative approaches to skill development through digital twins, and Readypods Technologies presented sustainable energy solutions for data centres",keep
keep,"C: kept, adjacent tech not AI",data centers,phrase,31,43,72%,It is also in the field of establishing data centers,keep
