DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,example_relid
,phrase,semiconductor manufacturing,2-word phrase,76,124,61%,"” Mr Sanjay Mehrotra, CEO of Micron Technologies, USA thanked the Prime Minister for his vision to open up the country to semiconductor manufacturing and said that it will become a huge economic driver in the future as India marches forward",252223
,phrase,centric digital,2-word phrase,75,119,63%,"Technology for transparency With an objective to make the scheme more efficient, effective, and transparent, continuous improvements in a farmer-centric digital infrastructure have been made to ensure the benefits of the scheme reach all th",254315
,phrase,lightning,1-word phrase,71,106,67%,"These services include weather forecasts (both on land and in the Oceans) and warnings for various natural disasters like tropical cyclones, storm surge, floods, heat waves, thunderstorm and lightning; alerts for Tsunamis and monitoring of ",252082
,phrase,warning system,2-word phrase,70,110,64%,“Early Flood Warning System Including Inundation Forecast in Ganga Basin”: All the deliverables has been completed except Task-IV:Conduct Hydrologic and Hydraulic Modelling which is under review,252049
,phrase,quantum technology,2-word phrase,69,113,61%,"He exhorted the Gurukuls to advance in the areas of emerging and cutting edge technology, such as Artificial Intelligence and quantum technology, along with traditional education, in sync with today’s constantly-evolving times",252125
,phrase,early warnings,2-word phrase,67,90,74%,"It incorporates specialized modules for severe weather events and utility tools for visualization, analysis, and response actions based on IMD's early warnings",252409
,phrase,abhay karandikar secretary,3-word phrase,63,105,60%,,
,phrase,drone based,2-word phrase,63,103,61%,"Impactful solutions that emerged included Drone based surveillance safety and security, AI assisted FIR filing, geofencing solution for crime scene investigation, AR based training through crime scene recreation and AI based Data analytics ",254095
,phrase,industry requirements,2-word phrase,63,104,61%,"The aim is to bridge the gap between industry requirements and skill development initiatives, ensuring that India’s young workforce remains competitive and is adaptable to emerging trends",254960
,phrase,advanced computing,2-word phrase,61,92,66%,"The team also demonstrated the Metro Area Quantum Access Network (MAQAN), jointly being implemented by SETS, IIT Madras, and the Centre for Development of Advanced Computing (C-DAC)",256442
,phrase,meri panchayat,2-word phrase,60,73,82%,", promotion of ‘Meri Panchayat Application’ providing one stop information platform about the Panchayats in the country, ‘Gram Manchitra Application’ that can facilitate Spatial Planning at Gram Panchayat level",252185
,phrase,technology development fund,3-word phrase,60,100,60%,"In order to make the Technology Development Fund (TDF) and allied schemes more effective, Hon’ble Raksha Mantri had constituted a committee headed by Dr Kakodkar, former Secretary DAE and Dr Saraswat, Member NITI Aayog to suggets ways to fu",251962
,phrase,short range,2-word phrase,59,91,65%,"In addition to short range forecast , CWC is providing seven day advisory based on numerical models and inputs available from India Meteorological Department (IMD), satellite derived products for Flood Forecasting (FF) stations of CWC acros",252049
,phrase,scheduling,1-word phrase,58,94,62%,"Operational Strategies for Headway Reliability serves as a dynamic scheduling decision support tool for transit operators, aiming to enhance the reliability of public transit services by minimizing instances of bus bunching",253085
,phrase,critical technologies,2-word phrase,57,94,61%,"He said that DRDO laboratories should focus on development of complex, first of its kind systems and development of advanced and critical technologies, which will enable the country to become AtmaNirbhar and a leader in Defence Technology",251962
,phrase,personal data,2-word phrase,57,94,61%,The Digital Personal Data Protection Act will make the digital space more secure,252872
,phrase,weather forecast,2-word phrase,56,76,74%,"IMD is much beyond just weather forecast, और यह मैं इसलिए कह सकता हूं कि मैं कृषक पुत्र हूं।IMD acts as a safety net protecting our national interest, shielding our citizens from the wrath of nature, and of course, it is extremely useful fo",252381
,phrase,data security,2-word phrase,55,90,61%,The software ensures data security through role-based access,255379
,phrase,development of telematics,3-word phrase,55,88,62%,"isits C-DOT Minister of State for Defence & Tourism, Shri Ajay Bhatt visited Centre for Development of Telematics (C-DOT) Delhi Campus yesterday",252833
,phrase,skill and up,3-word phrase,55,91,60%,"ABILITY OF YOUTH Under the Skill India Mission (SIM), the Government delivers skill, re-skill and up-skill training through an extensive network of skill development centres/institutes , under various schemes, viz",257161
,phrase,skill re skill,3-word phrase,55,91,60%,,
,phrase,telematics,1-word phrase,55,89,62%,"inister of State for Defence & Tourism, Shri Ajay Bhatt visited Centre for Development of Telematics (C-DOT) Delhi Campus yesterday",252833
,phrase,up skill training,3-word phrase,55,91,60%,,
,phrase,bioe3 policy,2-word phrase,54,87,62%,The salient features of BioE3 policy include innovation-driven support to R&D and entrepreneurship across thematic sectors,258978
,phrase,weather ready,2-word phrase,52,52,100%,"He urged the countrymen, business & industries, farmers & fishermen, researchers & academia and all socio-economic stakeholders to utilise climate & weather information in all their activities including human & community, agricultural, heal",252409
,phrase,early warning system,3-word phrase,51,85,60%,"Mrutyunjay Mohapatra, Director General of Meteorology, IMD, in his Welcome Address, discussed the evolution of meteorological services in the country since ancient era and the paradigm shift in all components of early warning system includi",252409
,phrase,technology ecosystem,2-word phrase,51,82,62%,"IMC 2024, Asia’s largest technology forum and a well-known platform, provides the perfect pretext for showcasing innovative solutions, services and state-of-the-art use cases for industry, government, academics, startups and other key stake",254810
,phrase,digital personal,2-word phrase,50,80,62%,The Digital Personal Data Protection Act will make the digital space more secure,252872
,phrase,digital personal data,3-word phrase,50,80,62%,The Digital Personal Data Protection Act will make the digital space more secure,252872
,phrase,personal data protection,3-word phrase,50,81,62%,The Digital Personal Data Protection Act will make the digital space more secure,252872
,phrase,capabilities across,2-word phrase,49,81,60%,"Key initiatives include India’s second Ice-Core Research Facility at the University of Kashmir, the installation of automated weather stations, and high-end computing capabilities across academic institutions",271635
,phrase,automatic weather,2-word phrase,47,68,69%,"•Improve understanding of weather and climate processes and prediction capabilities •Develop improved earth system models, and data-driven methods (use of AI/ML) •Develop Technologies for weather management •Develop state-of-art disseminati",259641
,phrase,intuitive,1-word phrase,47,78,60%,The fresh guidelines focus on further improving road safety by incorporating best practices and world standards to offer improved visibility and intuitive guidance to the drivers,252096
,phrase,health records,2-word phrase,46,76,61%,Electronic Health Records (EHRs) will replace traditional paper records,253929
,phrase,launched in september,3-word phrase,46,76,61%,"The FTLs are a part of Meta’s Education to Entrepreneurship initiative, launched in September 2023, to seamlessly connect students, youth, workforce, and micro-entrepreneurs with futuristic technologies, taking digital skilling to the grass",254557
,phrase,nqm,1-word phrase,46,71,65%,Jitendra Singh at the Announcement Ceremony of Thematic Hubs and Technical Groups National Quantum Mission (NQM),260560
,phrase,registered users,2-word phrase,46,73,63%,"Five-day Capacity Building Programme for in-service training of general teachers in inclusive education under NISHTHA - Equitable and Inclusive Education is being organized at Regional Institutes of NCERT (Ajmer, Bhopal, Bhubaneswar, Mysuru",252139
,phrase,telematics dot,2-word phrase,46,75,61%,,
,phrase,visualization,1-word phrase,46,76,61%,"The WAFES serves as a visualization platform to analyze meteorological observations and prediction models, aiding decision-making for severe weather phenomena and their socio-economic impact",252409
,phrase,enabling timely,2-word phrase,45,73,62%,"This system utilizes AI and Machine Learning to detect crop issues, enabling timely intervention for healthier crops",253044
,phrase,institute of tropical,3-word phrase,45,63,71%,"India Meteorological Department (IMD), National Centre for Medium Range Weather Forecasting (NCMRWF), Centre for Marine Living Resources and Ecology (CMLRE), National Centre for Coastal Research (NCCR), National Centre for Seismology (NCS),",252082
,phrase,tropical meteorology,2-word phrase,45,64,70%,"India Meteorological Department (IMD), National Centre for Medium Range Weather Forecasting (NCMRWF), Centre for Marine Living Resources and Ecology (CMLRE), National Centre for Coastal Research (NCCR), National Centre for Seismology (NCS),",252082
,phrase,adoption across,2-word phrase,44,70,63%,BharatGen will also focus on scaling AI adoption across industries and public initiatives,260561
,phrase,finalists,1-word phrase,44,73,60%,Handholding support is provided to all the finalists across various tracks viz,257538
,phrase,registries,1-word phrase,44,72,61%,"AgriStack architecture has the following foundational layers: - Core registries Base databases Farmers Database: Farmers ID linked with land records Geo-referencing of plots Crop Survey, Crop planning and Soil Mapping, Soil Fertility Unifie",253045
,phrase,alerting,1-word phrase,43,65,66%,hampion” Award for “Mobile – Enabled Disaster Resilience through Cell Broadcast Emergency Alerting” category at the World Summit on the Information Society (WSIS)+ 20 Forum High-Level Event held at Geneva Centre for Development of Telematic,255881
,phrase,build future ready,3-word phrase,43,69,62%,"We shall responsibly harness technology, digital tools and AI to build future ready institutions",290904
,phrase,crime coordination centre,3-word phrase,42,70,60%,"The Indian Cyber Crime Coordination Centre (I4C) and Joint Cybercrime Coordination Teams (JCCT) Jamtara, Jharkhand has launched the ‘Pratibimb’ platform which not only aggregates data but also employs geospatial mapping to pinpoint the phys",252032
,phrase,launched mission,2-word phrase,42,69,61%,Ministry of Electronics and Information Technology (MEITY) has launched Mission Digital India Bhashini in the year 2022 to develop core language technologies for speech and text translation for 22 Scheduled Indian languages in the open sour,257866
,phrase,mission nqm,2-word phrase,42,62,68%,,
,phrase,quantum mission nqm,3-word phrase,42,62,68%,,
,phrase,gramswaraj,1-word phrase,41,52,79%,"Visitors were particularly impressed by key technological interventions such as the Meri Panchayat App, e-GramSwaraj platform available in 22 Indian languages and the Gram Manchitra's advanced geospatial technology Prof",262901
,phrase,manchitra,1-word phrase,41,50,82%,", promotion of ‘Meri Panchayat Application’ providing one stop information platform about the Panchayats in the country, ‘Gram Manchitra Application’ that can facilitate Spatial Planning at Gram Panchayat level",252185
,phrase,nicdc,1-word phrase,41,68,60%,NICDC and IIT Delhi sign MoU to Collaborate on Assessment of Location Optimality for the National Industrial Corridor Development Programme using PM GatiShakti Portal National Industrial Corridor Development Corporation Limited (NICDC) unde,254157
,phrase,protocol cap,2-word phrase,41,68,60%,,
,phrase,public grievance redressal,3-word phrase,41,61,67%,"The Centre is sharing the initiatives being taken in the country such as e-governance, digital India, universalization of public services, approach to sustainable development goals, usage of Aadhar in service delivery, public grievance redr",252023
,phrase,internet access,2-word phrase,40,64,62%,"Affordability: BSNL National Wi-Fi Roaming BSNL is launching a first-of-its-kind seamless Wi-Fi roaming service for its FTTH customers , enabling high-speed internet access at BSNL hotspots at no extra charge, thus minimizing data costs for",261457
,phrase,meteorology iitm,2-word phrase,40,56,71%,,
,phrase,quantum sensing,2-word phrase,40,59,68%,"To achieve this, the I-Hub QTF is supporting the below 14 start-ups spanning across different domains of Quantum Technologies, including Quantum Computing, Quantum Communications, Quantum Sensing, & Quantum Materials",263830
,phrase,tropical meteorology iitm,3-word phrase,40,56,71%,,
,phrase,cdac,1-word phrase,39,60,65%,"ogies - Thermal camera, CMOS camera and Fleet Management System designed and developed by CDAC Thiruvananthapuram under InTranSE Program of MeitY were transferred to 12 Industries",253085
,phrase,redressal system,2-word phrase,39,65,60%,"Inauguration of two mobile Applications: Hon’ble Union Minister for Road Transport & Highways, Shri Nitin Gadkari, inaugurated two mobile Apps namely (a) ‘RajmargYatra’ – a citizen centric Mobile Application with in-built complaint redressa",252096
,phrase,research collaborations,2-word phrase,38,63,60%,"The IMD is at the forefront of disaster reduction, harnessing technology through public-private partnerships and research collaborations to mitigate the impact of natural disasters",252381
,phrase,startups and industry,3-word phrase,38,62,61%,"“…And this is what has given the outcomes, - a multiple, manifold investment; so there is a huge synergy now between Research, Academia, Startups and Industry,” he said",254518
,phrase,supporting startups,2-word phrase,38,63,60%,"Interaction with DPIIT officials: To provide valuable insights into various government initiatives aimed at supporting startups, including funding schemes, mentorship programs, and regulatory reforms Startup exhibitions: A dedicated exhibit",255058
,phrase,temporal,1-word phrase,38,59,64%,He also discussed the spatial and temporal distribution of climate patterns affecting farming activities and called upon the need for localized responses,252640
,phrase,data processing,2-word phrase,37,60,62%,"Impactful solutions that emerged included Drone based surveillance safety and security, AI assisted FIR filing, geofencing solution for crime scene investigation, AR based training through crime scene recreation and AI based Data analytics ",254095
,phrase,nowcast,1-word phrase,37,41,90%,IMD utilizes a seamless forecasting system at seasonal to nowcast scale and implemented well-defined Standard Operating Procedures (SOPs) for monitoring & forecasting weather hazards,263765
,phrase,precipitation,1-word phrase,37,59,63%,ave experienced extreme events along with the climatic variations and long-term trends in precipitation and temperature,257890
,phrase,futuristic technologies,2-word phrase,36,58,62%,He mentioned that 15 DRDO Industry Academia Centres of Excellence (DIA-CoEs) have already been sanctioned several projects and will enable DRDO laboratories to seamlessly transition some futuristic technologies from low TRLs to high TRLs,251962
,phrase,indigenous solutions,2-word phrase,36,55,65%,"Krishnan, Secretary, MeitY highlighted the importance of empowering the Armed Forces with indigenous solutions and commended the proposed CDAC Centre of Excellence at MCTE",260403
,phrase,platform enabling,2-word phrase,36,58,62%,‘Asha Samvaad’ initiative: A new platform enabling direct interaction between ASHA workers and the Ministry was inaugurated,275275
,phrase,rdi fund,2-word phrase,36,59,61%,?1 Lakh Crore RDI Fund to Boost Private Sector Research and Innovation: Dr,273945
,phrase,applied research,2-word phrase,35,58,60%,"uhan will inaugurate the prestigious ninth chapter of ‘Capsule on Science, Technology and Applied Research’ (CAPSTAR) at Military Institute of Technology (MILIT), Pune on 17 January 2024",252440
,phrase,cryptography,1-word phrase,35,54,65%,"Following which CEO, C-DOT, Dr Rajkumar Upadhyay, gave a detailed presentation on diverse Telecom product portfolio/solutions and key telecom security solutions such as security operation centre (real-time detection of malware in a network)",252833
,phrase,grievance redressal system,3-word phrase,35,58,60%,"The OTP and Feedback Based Public Grievance Redressal System, introduced by Shri",253859
,phrase,forecasts and warnings,3-word phrase,34,43,79%,Forecasts and warnings are disseminated in text and graphics format this mobile App,252409
,phrase,hyper,1-word phrase,34,52,65%,He noted that India’s capacity for weather forecasting will increase allowing for hyper-local and more accurate predictions with the advent of High-Performance Computing (HPC) Systems and supercomputers,260377
,phrase,communication networks,2-word phrase,33,55,60%,It is designed to propel innovation and harness the power of AI/ML (Artificial Intelligence/Machine Learning) in the next generation of communication networks,258424
,phrase,digital era,2-word phrase,33,55,60%,"Naik said, “This event marks a pivotal juncture in our commitment to reshaping the maritime industry, fostering efficiency and embracing the digital era",252965
,phrase,inclusive technology,2-word phrase,33,52,63%,"Department of Science and Technology (DST) - In order to support young innovators and entrepreneurs through NIDHI-Technology Business Incubator (TBI), NIDHI-inclusive Technology Business Incubator (iTBI) program, Department of Science and T",257633
,phrase,lead time,2-word phrase,33,47,70%,He also informed that total number of radars in the country will go upto 86 in next 5 years and events like cloudbursts will be predicted with sufficient lead time,252409
,phrase,multi hazard,2-word phrase,33,45,73%,"No Name of the Project Organisation Name Mining Tenement System Indian Bureau of Mines (IBM), Ministry of Mines Multi Hazard Early Warning Decision Support System India Meteorological Department SAMPADA (Stamps And Management of Property An",271298
,phrase,platform provides,2-word phrase,33,53,62%,The platform provides free of cost educational content and guidance for the competitive exams to all the students/ learners including economically and socially weaker sections,257683
,phrase,quantum communications,2-word phrase,33,47,70%,"Exploration of Quantum Communications Collaboration at the University of Chicago In a strategic move to bolster India's self-reliance in Quantum Communications, the Secretary visited the University of Chicago",252455
,phrase,standards to ensure,3-word phrase,33,54,61%,The National Council for Vocational Education and Training (NCVET) has been set up as an overarching regulator establishing regulations and standards to ensure quality in the Technical and Vocational Education and Training (TVET) space,257161
,phrase,alerting protocol,2-word phrase,32,48,67%,"The initiative aligns with global Early Warnings for All (EW4All), International Telecommunication Unions (ITU’s) – Common Alerting Protocol (CAP), ‘Call to Action’ and promotes SDGs (Susatinable Development Goal) targets while enhancing co",255881
,phrase,common alerting,2-word phrase,32,49,65%,"The initiative aligns with global Early Warnings for All (EW4All), International Telecommunication Unions (ITU’s) – Common Alerting Protocol (CAP), ‘Call to Action’ and promotes SDGs (Susatinable Development Goal) targets while enhancing co",255881
,phrase,common alerting protocol,3-word phrase,32,48,67%,"The initiative aligns with global Early Warnings for All (EW4All), International Telecommunication Unions (ITU’s) – Common Alerting Protocol (CAP), ‘Call to Action’ and promotes SDGs (Susatinable Development Goal) targets while enhancing co",255881
,phrase,iit gandhinagar,2-word phrase,32,52,62%,"He commended the State’s effort in taking help from the Centre for Creative Learning at IIT Gandhinagar, Gujarat in teaching science to the students of Kasturba Gandhi Valika Vidyalayas in Uttar Pradesh",252071
,phrase,sensor based,2-word phrase,32,48,67%,The Government of India issued advisory to all States/ UTs to consider sensor based IoT solutions to measure and monitor water supply in rural areas,274809
,phrase,wind speed,2-word phrase,32,48,67%,"Rainfall Monitoring Stations have increased from 3,955 in 2014 to 6,095 in 2023; upper air stations have increased from 43 in 2014 to 56 in 2023; High wind speed recorders increased from 19 in 2014 to 35 in 2023",252409
,phrase,dynamical,1-word phrase,31,49,63%,IMD provides climate forecast for each month and season based on the dynamical multi model ensemble climate forecast system since 2021,252409
,phrase,education across,2-word phrase,31,51,61%,"Speaking on the occasion, Shri Pradhan shared his thoughts on the roadmap for the next five years for the holistic development of school education across India",256762
,phrase,innovation challenge,2-word phrase,31,46,67%,"There will also be 3 Country Sessions and 5 State Sessions on opportunities, investment and trade besides sessions on Global Mega Trends shaping the future of Textiles industry and Factory of the Future with emphasis on AI and Block Chain b",254048
,phrase,multiple indian languages,3-word phrase,31,51,61%,In school education ecosystem also study material is available in multiple Indian languages including over 30 languages on DIKSHA,252575
,phrase,alerting protocol cap,3-word phrase,30,45,67%,,
,phrase,ayush research,2-word phrase,30,49,61%,"Status on the Ayush research centres in the country Central Council for Research in Homoeopathy (CCRH) is an apex research organization under Ministry of Ayush, which undertakes coordinates, develops, disseminates and promotes scientific re",257772
,phrase,collaboration between academia,3-word phrase,30,50,60%,"Sitharam, Chairman, AICTE, mentioned that the skilling initiative represents a pivotal step in realizing India's AI potential as it is mobilizing institutions nationwide and fostering collaboration between academia, industry, and government",261628
,phrase,online courses,2-word phrase,30,50,60%,"Massive Open Online Courses (MOOC) platform, namely ‘CyTrain’ was launched for capacity building of Police officers by I4C, MHA under its vertical i",252032
,phrase,computing quantum,2-word phrase,29,42,69%,,
,phrase,engineering and technology,3-word phrase,29,47,62%,"It comprises six academic disciplines namely, agriculture and animal husbandry, business and commerce, engineering and technology, health and paramedical science, home science and hospitality management and humanities, science, education an",252139
,phrase,extended range,2-word phrase,29,45,64%,Last five years following efforts have been taken towards achieving the vision to make India a developed nation by 2047: Augmentation of Doppler Weather Radar network to 39 Establishment of Lightning Sensor Network Implementation of Heat Ac,263383
,phrase,frontier areas,2-word phrase,29,45,64%,"Collaborating with Italy can accelerate advancements in satellite technology, deep-space exploration, and other frontier areas",263122
,phrase,advanced computing dac,3-word phrase,28,46,61%,,
,phrase,computing dac,2-word phrase,28,46,61%,,
,phrase,rain gauges,2-word phrase,28,44,64%,"IMPLEMENTATION STRATEGY Mission Mausam adopts a multi-pronged approach to achieve its objectives: Infrastructure Development: Installation of Doppler Weather Radars (DWRs), Automatic Weather Stations (AWS) , and rain gauges across the count",264440
,phrase,sigma,1-word phrase,28,43,65%,"Some of the major suggestions presented during the session by World Bank include providing support to States for CAPI, development of joint Centre-State framework for a revamped Support for Statistical Strengthening sub-scheme, having joint",258608
,phrase,technological transformation,2-word phrase,28,44,64%,"As our nations undergo profound digital and technological transformation, our joint endeavour will be to harness technologies for rapid economic growth and promoting the well-being of the two peoples",255125
,phrase,thematic hubs,2-word phrase,28,43,65%,Jitendra Singh announced Establishment of Thematic Hubs and Technical Groups National Quantum Mission “The National Quantum Mission is more than just a quantum initiative,260560
,phrase,career pathways,2-word phrase,27,45,60%,""" Empowering Talent through AI Education & Skilling "" aims to bridge the AI skills gap by spotlighting educational strategies and career pathways",256597
,phrase,financial cyber,2-word phrase,27,45,60%,Some of the issues that were discussed included: · Onboarding of Banks/ Financial Institutions on the Citizen Financial Cyber Fraud Reporting and Management System (CFCFRMS) platform through API integration,253560
,phrase,forecast system,2-word phrase,27,42,64%,IMD provides climate forecast for each month and season based on the dynamical multi model ensemble climate forecast system since 2021,252409
,phrase,redressal systems,2-word phrase,27,41,66%,Ministries/ Departments are encouraged to periodically review grievance redressal in Senior Officers Meetings and ensure adequate communication and awareness of the grievance redressal systems amongst all stakeholders,259010
,phrase,sabha on msz,3-word phrase,27,45,60%,,
,phrase,access network,2-word phrase,26,41,63%,Visiting the lab of Artificial Intelligence (AI) Lab visit of Post Quantum Cryptography (PQC) PM-WANI (Prime Minister’s Wi-Fi Access Network Interface) lab visit During one of the demonstrations for lab visit,252833
,phrase,based application,2-word phrase,26,42,62%,The web-based application “INDIA-GROUNDWATER RESOURCE ESTIMATION SYSTEM (IN-GRES) developed by CGWB in association with IIT-Hyderabad for automated estimation of the dynamic ground water resources provides a common and standardized platform,252049
,phrase,command control,2-word phrase,26,42,62%,"The tableau displays Man Portable Anti-tank Guided Missile (MPATGM), Anti-Satellite (ASAT) Missile, Agni-5, Surface-to-Surface Ballistic Missile, Very Short Range Air Defence System (VSHORADS), Naval Anti-Ship Missile–Short Range (NASM-SR),",252706
